name,pokemonid,formid,formname,gen,release,type1,type2,species,height,weight,gender,catch_rate,base_exp,egg_cycles,friendship,growth_rate,hp,attack,defense,spatk,spdef,speed,ev_hp,ev_attack,ev_defense,ev_spatk,ev_spdef,ev_speed,group
smeargle,smeargle,,,2,gold-silver,normal,,Painter,1.2,58.0,4:4,45.0,88.0,20.0,50.0,fast,55,20,35,20,45,75,,,,,,1.0,sredniaki
tyrogue,tyrogue,,,2,gold-silver,fighting,,Scuffle,0.7,21.0,0,75.0,42.0,25.0,50.0,medium fast,35,35,35,35,35,35,,1.0,,,,,agresorzy
hitmontop,hitmontop,,,2,gold-silver,fighting,,Handstand,1.4,48.0,0,45.0,159.0,25.0,50.0,medium fast,50,95,95,35,110,70,,,,,2.0,,agresorzy
smoochum,smoochum,,,2,gold-silver,ice,psychic,Kiss,0.4,6.0,8:0,45.0,61.0,25.0,50.0,medium fast,45,30,15,85,65,65,,,,1.0,,,sredniaki
elekid,elekid,,,2,gold-silver,electric,,Electric,0.6,23.5,2:6,45.0,72.0,25.0,50.0,medium fast,45,63,37,65,55,95,,,,,,1.0,specjalni
magby,magby,,,2,gold-silver,fire,,Live Coal,0.7,21.4,2:6,45.0,73.0,25.0,50.0,medium fast,45,75,37,70,55,83,,,,,,1.0,specjalni
miltank,miltank,,,2,gold-silver,normal,,Milk Cow,1.2,75.5,8:0,45.0,172.0,20.0,50.0,slow,95,80,105,40,70,100,,,2.0,,,,sredniaki
blissey,blissey,,,2,gold-silver,normal,,Happiness,1.5,46.8,8:0,30.0,635.0,40.0,140.0,fast,255,10,10,75,135,55,3.0,,,,,,sredniaki
raikou,raikou,,,2,gold-silver,electric,,Thunder,1.9,178.0,genderless,3.0,261.0,80.0,35.0,slow,90,85,75,115,100,115,,,,1.0,,2.0,specjalni
entei,entei,,,2,gold-silver,fire,,Volcano,2.1,198.0,genderless,3.0,261.0,80.0,35.0,slow,115,115,85,90,75,100,1.0,2.0,,,,,specjalni
suicune,suicune,,,2,gold-silver,water,,Aurora,2.0,187.0,genderless,3.0,261.0,80.0,35.0,slow,100,75,115,90,115,85,,,1.0,,2.0,,sredniaki
larvitar,larvitar,,,2,gold-silver,rock,ground,Rock Skin,0.6,72.0,4:4,45.0,60.0,40.0,35.0,slow,50,64,50,45,50,41,,1.0,,,,,grubole
pupitar,pupitar,,,2,gold-silver,rock,ground,Hard Shell,1.2,152.0,4:4,45.0,144.0,40.0,35.0,slow,70,84,70,65,70,51,,2.0,,,,,grubole
tyranitar,tyranitar,,,2,gold-silver,rock,dark,Armor,2.0,202.0,4:4,45.0,300.0,40.0,35.0,slow,100,134,110,95,100,61,,3.0,,,,,grubole
tyranitar-mega,tyranitar,mega,Mega Tyranitar,6,x-y,rock,dark,Armor,2.5,255.0,4:4,45.0,315.0,40.0,35.0,slow,100,164,150,95,120,71,,3.0,,,,,grubole
lugia,lugia,,,2,gold-silver,psychic,flying,Diving,5.2,216.0,genderless,3.0,306.0,120.0,0.0,slow,106,90,130,90,154,110,,,,,3.0,,specjalni
ho-oh,ho-oh,,,2,gold-silver,fire,flying,Rainbow,3.8,199.0,genderless,3.0,306.0,120.0,0.0,slow,106,130,90,110,154,90,,,,,3.0,,specjalni
celebi,celebi,,,2,gold-silver,psychic,grass,Time Travel,0.6,5.0,genderless,45.0,270.0,120.0,100.0,medium slow,100,100,100,100,100,100,3.0,,,,,,specjalni
treecko,treecko,,,3,ruby-sapphire,grass,,Wood Gecko,0.5,5.0,1:7,45.0,62.0,20.0,50.0,medium slow,40,45,35,65,55,70,,,,,,1.0,sredniaki
grovyle,grovyle,,,3,ruby-sapphire,grass,,Wood Gecko,0.9,21.6,1:7,45.0,142.0,20.0,50.0,medium slow,50,65,45,85,65,95,,,,,,2.0,sredniaki
sceptile,sceptile,,,3,ruby-sapphire,grass,,Forest,1.7,52.2,1:7,45.0,239.0,20.0,50.0,medium slow,70,85,65,105,85,120,,,,,,3.0,sredniaki
sceptile-mega,sceptile,mega,Mega Sceptile,6,omega-ruby-alpha-sapphire,grass,dragon,Forest,1.9,55.2,1:7,45.0,284.0,20.0,50.0,medium slow,70,110,75,145,85,145,,,,,,3.0,sredniaki
torchic,torchic,,,3,ruby-sapphire,fire,,Chick,0.4,2.5,1:7,45.0,62.0,20.0,50.0,medium slow,45,60,40,70,50,45,,,,1.0,,,specjalni
combusken,combusken,,,3,ruby-sapphire,fire,fighting,Young Fowl,0.9,19.5,1:7,45.0,142.0,20.0,50.0,medium slow,60,85,60,85,60,55,,1.0,,1.0,,,specjalni
blaziken,blaziken,,,3,ruby-sapphire,fire,fighting,Blaze,1.9,52.0,1:7,45.0,239.0,20.0,50.0,medium slow,80,120,70,110,70,80,,3.0,,,,,specjalni
blaziken-mega,blaziken,mega,Mega Blaziken,6,x-y,fire,fighting,Blaze,1.9,52.0,1:7,45.0,284.0,20.0,50.0,medium slow,80,160,80,130,80,100,,3.0,,,,,specjalni
mudkip,mudkip,,,3,ruby-sapphire,water,,Mud Fish,0.4,7.6,1:7,45.0,62.0,20.0,50.0,medium slow,50,70,50,50,50,40,,1.0,,,,,sredniaki
marshtomp,marshtomp,,,3,ruby-sapphire,water,ground,Mud Fish,0.7,28.0,1:7,45.0,142.0,20.0,50.0,medium slow,70,85,70,60,70,50,,2.0,,,,,sredniaki
swampert,swampert,,,3,ruby-sapphire,water,ground,Mud Fish,1.5,81.9,1:7,45.0,241.0,20.0,50.0,medium slow,100,110,90,85,90,60,,3.0,,,,,sredniaki
swampert-mega,swampert,mega,Mega Swampert,6,omega-ruby-alpha-sapphire,water,ground,Mud Fish,1.9,102.0,1:7,45.0,286.0,20.0,50.0,medium slow,100,150,110,95,110,70,,3.0,,,,,sredniaki
poochyena,poochyena,,,3,ruby-sapphire,dark,,Bite,0.5,13.6,4:4,255.0,56.0,15.0,50.0,medium fast,35,55,35,30,30,35,,1.0,,,,,agresorzy
mightyena,mightyena,,,3,ruby-sapphire,dark,,Bite,1.0,37.0,4:4,127.0,147.0,15.0,50.0,medium fast,70,90,70,60,60,70,,2.0,,,,,agresorzy
zigzagoon,zigzagoon,,,3,ruby-sapphire,normal,,TinyRaccoon,0.4,17.5,4:4,255.0,56.0,15.0,50.0,medium fast,38,30,41,30,41,60,,,,,,1.0,sredniaki
zigzagoon-galarian,zigzagoon,galarian,Galarian Zigzagoon,8,sword-shield,dark,normal,Tiny Raccoon,0.4,17.5,4:4,255.0,56.0,15.0,50.0,medium fast,38,30,41,30,41,60,,,,,,1.0,agresorzy
linoone,linoone,,,3,ruby-sapphire,normal,,Rushing,0.5,32.5,4:4,90.0,147.0,15.0,50.0,medium fast,78,70,61,50,61,100,,,,,,2.0,sredniaki
linoone-galarian,linoone,galarian,Galarian Linoone,8,sword-shield,dark,normal,Rushing,0.5,32.5,4:4,90.0,147.0,15.0,50.0,medium fast,78,70,61,50,61,100,,,,,,2.0,agresorzy
wurmple,wurmple,,,3,ruby-sapphire,bug,,Worm,0.3,3.6,4:4,255.0,56.0,15.0,50.0,medium fast,45,45,35,20,30,20,1.0,,,,,,sredniaki
silcoon,silcoon,,,3,ruby-sapphire,bug,,Cocoon,0.6,10.0,4:4,120.0,72.0,15.0,50.0,medium fast,50,35,55,25,25,15,,,2.0,,,,sredniaki
beautifly,beautifly,,,3,ruby-sapphire,bug,flying,Butterfly,1.0,28.4,4:4,45.0,178.0,15.0,50.0,medium fast,60,70,50,100,50,65,,,,3.0,,,sredniaki
cascoon,cascoon,,,3,ruby-sapphire,bug,,Cocoon,0.7,11.5,4:4,120.0,72.0,15.0,50.0,medium fast,50,35,55,25,25,15,,,2.0,,,,sredniaki
dustox,dustox,,,3,ruby-sapphire,bug,poison,Poison Moth,1.2,31.6,4:4,45.0,173.0,15.0,50.0,medium fast,60,50,70,50,90,65,,,,,3.0,,sredniaki
lotad,lotad,,,3,ruby-sapphire,water,grass,Water Weed,0.5,2.6,4:4,255.0,44.0,15.0,50.0,medium slow,40,30,30,40,50,30,,,,,1.0,,sredniaki
lombre,lombre,,,3,ruby-sapphire,water,grass,Jolly,1.2,32.5,4:4,120.0,119.0,15.0,50.0,medium slow,60,50,50,60,70,50,,,,,2.0,,sredniaki
ludicolo,ludicolo,,,3,ruby-sapphire,water,grass,Carefree,1.5,55.0,4:4,45.0,216.0,15.0,50.0,medium slow,80,70,70,90,100,70,,,,,3.0,,sredniaki
seedot,seedot,,,3,ruby-sapphire,grass,,Acorn,0.5,4.0,4:4,255.0,44.0,15.0,50.0,medium slow,40,40,50,30,30,30,,,1.0,,,,sredniaki
nuzleaf,nuzleaf,,,3,ruby-sapphire,grass,dark,Wily,1.0,28.0,4:4,120.0,119.0,15.0,50.0,medium slow,70,70,40,60,40,60,,2.0,,,,,sredniaki
shiftry,shiftry,,,3,ruby-sapphire,grass,dark,Wicked,1.3,59.6,4:4,45.0,216.0,15.0,50.0,medium slow,90,100,60,90,60,80,,3.0,,,,,sredniaki
taillow,taillow,,,3,ruby-sapphire,normal,flying,TinySwallow,0.3,2.3,4:4,200.0,54.0,15.0,50.0,medium slow,40,55,30,30,30,85,,,,,,1.0,sredniaki
swellow,swellow,,,3,ruby-sapphire,normal,flying,Swallow,0.7,19.8,4:4,45.0,159.0,15.0,50.0,medium slow,60,85,60,75,50,125,,,,,,2.0,sredniaki
wingull,wingull,,,3,ruby-sapphire,water,flying,Seagull,0.6,9.5,4:4,190.0,54.0,20.0,50.0,medium fast,40,30,30,55,30,85,,,,,,1.0,sredniaki
pelipper,pelipper,,,3,ruby-sapphire,water,flying,Water Bird,1.2,28.0,4:4,45.0,154.0,20.0,50.0,medium fast,60,50,100,95,70,65,,,2.0,,,,sredniaki
ralts,ralts,,,3,ruby-sapphire,psychic,fairy,Feeling,0.4,6.6,4:4,235.0,40.0,20.0,35.0,slow,28,25,25,45,35,40,,,,1.0,,,specjalni
kirlia,kirlia,,,3,ruby-sapphire,psychic,fairy,Emotion,0.8,20.2,4:4,120.0,97.0,20.0,35.0,slow,38,35,35,65,55,50,,,,2.0,,,specjalni
gardevoir,gardevoir,,,3,ruby-sapphire,psychic,fairy,Embrace,1.6,48.4,4:4,45.0,259.0,20.0,35.0,slow,68,65,65,125,115,80,,,,3.0,,,specjalni
gardevoir-mega,gardevoir,mega,Mega Gardevoir,6,x-y,psychic,fairy,Embrace,1.6,48.4,4:4,45.0,278.0,20.0,35.0,slow,68,85,65,165,135,100,,,,3.0,,,specjalni
surskit,surskit,,,3,ruby-sapphire,bug,water,Pond Skater,0.5,1.7,4:4,200.0,54.0,15.0,50.0,medium fast,40,30,32,50,52,65,,,,,,1.0,sredniaki
masquerain,masquerain,,,3,ruby-sapphire,bug,flying,Eyeball,0.8,3.6,4:4,75.0,159.0,15.0,50.0,medium fast,70,60,62,100,82,80,,,,1.0,1.0,,sredniaki
shroomish,shroomish,,,3,ruby-sapphire,grass,,Mushroom,0.4,4.5,4:4,255.0,59.0,15.0,50.0,fluctuating,60,40,60,40,60,35,1.0,,,,,,sredniaki
breloom,breloom,,,3,ruby-sapphire,grass,fighting,Mushroom,1.2,39.2,4:4,90.0,161.0,15.0,50.0,fluctuating,60,130,80,60,60,70,,2.0,,,,,sredniaki
slakoth,slakoth,,,3,ruby-sapphire,normal,,Slacker,0.8,24.0,4:4,255.0,56.0,15.0,50.0,slow,60,60,60,35,35,30,1.0,,,,,,sredniaki
vigoroth,vigoroth,,,3,ruby-sapphire,normal,,Wild Monkey,1.4,46.5,4:4,120.0,154.0,15.0,50.0,slow,80,80,80,55,55,90,,,,,,2.0,sredniaki
slaking,slaking,,,3,ruby-sapphire,normal,,Lazy,2.0,130.5,4:4,45.0,285.0,15.0,50.0,slow,150,160,100,95,65,100,3.0,,,,,,sredniaki
nincada,nincada,,,3,ruby-sapphire,bug,ground,Trainee,0.5,5.5,4:4,255.0,53.0,15.0,50.0,erratic,31,45,90,30,30,40,,,1.0,,,,sredniaki
ninjask,ninjask,,,3,ruby-sapphire,bug,flying,Ninja,0.8,12.0,4:4,120.0,160.0,15.0,50.0,erratic,61,90,45,50,50,160,,,,,,2.0,sredniaki
shedinja,shedinja,,,3,ruby-sapphire,bug,ghost,Shed,0.8,1.2,genderless,45.0,83.0,15.0,50.0,erratic,1,90,45,30,30,40,2.0,,,,,,sredniaki
whismur,whismur,,,3,ruby-sapphire,normal,,Whisper,0.6,16.3,4:4,190.0,48.0,20.0,50.0,medium slow,64,51,23,51,23,28,1.0,,,,,,sredniaki
loudred,loudred,,,3,ruby-sapphire,normal,,Big Voice,1.0,40.5,4:4,120.0,126.0,20.0,50.0,medium slow,84,71,43,71,43,48,2.0,,,,,,sredniaki
exploud,exploud,,,3,ruby-sapphire,normal,,Loud Noise,1.5,84.0,4:4,45.0,221.0,20.0,50.0,medium slow,104,91,63,91,73,68,3.0,,,,,,sredniaki
makuhita,makuhita,,,3,ruby-sapphire,fighting,,Guts,1.0,86.4,2:6,180.0,47.0,20.0,50.0,fluctuating,72,60,30,20,30,25,1.0,,,,,,agresorzy
hariyama,hariyama,,,3,ruby-sapphire,fighting,,Arm Thrust,2.3,253.8,2:6,200.0,166.0,20.0,50.0,fluctuating,144,120,60,40,60,50,2.0,,,,,,agresorzy
azurill,azurill,,,3,ruby-sapphire,normal,fairy,Polka Dot,0.2,2.0,6:2,150.0,38.0,10.0,50.0,fast,50,20,40,20,40,20,1.0,,,,,,sredniaki
nosepass,nosepass,,,3,ruby-sapphire,rock,,Compass,1.0,97.0,4:4,255.0,75.0,20.0,50.0,medium fast,30,45,135,45,90,30,,,1.0,,,,grubole
skitty,skitty,,,3,ruby-sapphire,normal,,Kitten,0.6,11.0,6:2,255.0,52.0,15.0,50.0,fast,50,45,45,35,35,50,,,,,,1.0,sredniaki
delcatty,delcatty,,,3,ruby-sapphire,normal,,Prim,1.1,32.6,6:2,60.0,140.0,15.0,50.0,fast,70,65,65,55,55,90,1.0,,,,,1.0,sredniaki
sableye,sableye,,,3,ruby-sapphire,dark,ghost,Darkness,0.5,11.0,4:4,45.0,133.0,25.0,35.0,medium slow,50,75,75,65,65,50,,1.0,1.0,,,,agresorzy
sableye-mega,sableye,mega,Mega Sableye,6,omega-ruby-alpha-sapphire,dark,ghost,Darkness,0.5,161.0,4:4,45.0,168.0,25.0,35.0,medium slow,50,85,125,85,115,20,,1.0,1.0,,,,agresorzy
mawile,mawile,,,3,ruby-sapphire,steel,fairy,Deceiver,0.6,11.5,4:4,45.0,133.0,20.0,50.0,fast,50,85,85,55,55,50,,1.0,1.0,,,,grubole
mawile-mega,mawile,mega,Mega Mawile,6,x-y,steel,fairy,Deceiver,1.0,23.5,4:4,45.0,168.0,20.0,50.0,fast,50,105,125,55,95,50,,1.0,1.0,,,,grubole
aron,aron,,,3,ruby-sapphire,steel,rock,Iron Armor,0.4,60.0,4:4,180.0,66.0,35.0,35.0,slow,50,70,100,40,40,30,,,1.0,,,,grubole
lairon,lairon,,,3,ruby-sapphire,steel,rock,Iron Armor,0.9,120.0,4:4,90.0,151.0,35.0,35.0,slow,60,90,140,50,50,40,,,2.0,,,,grubole
aggron,aggron,,,3,ruby-sapphire,steel,rock,Iron Armor,2.1,360.0,4:4,45.0,239.0,35.0,35.0,slow,70,110,180,60,60,50,,,3.0,,,,grubole
aggron-mega,aggron,mega,Mega Aggron,6,x-y,steel,,Iron Armor,2.2,395.0,4:4,45.0,284.0,35.0,35.0,slow,70,140,230,60,80,50,,,3.0,,,,grubole
meditite,meditite,,,3,ruby-sapphire,fighting,psychic,Meditate,0.6,11.2,4:4,180.0,56.0,20.0,50.0,medium fast,30,40,55,40,55,60,,,,,,1.0,agresorzy
medicham,medicham,,,3,ruby-sapphire,fighting,psychic,Meditate,1.3,31.5,4:4,90.0,144.0,20.0,50.0,medium fast,60,60,75,60,75,80,,,,,,2.0,agresorzy
medicham-mega,medicham,mega,Mega Medicham,6,x-y,fighting,psychic,Meditate,1.3,31.5,4:4,90.0,179.0,20.0,50.0,medium fast,60,100,85,80,85,100,,,,,,2.0,agresorzy
electrike,electrike,,,3,ruby-sapphire,electric,,Lightning,0.6,15.2,4:4,120.0,59.0,20.0,50.0,slow,40,45,40,65,40,65,,,,,,1.0,specjalni
manectric,manectric,,,3,ruby-sapphire,electric,,Discharge,1.5,40.2,4:4,45.0,166.0,20.0,50.0,slow,70,75,60,105,60,105,,,,,,2.0,specjalni
manectric-mega,manectric,mega,Mega Manectric,6,x-y,electric,,Discharge,1.8,44.0,4:4,45.0,201.0,20.0,50.0,slow,70,75,80,135,80,135,,,,,,2.0,specjalni
plusle,plusle,,,3,ruby-sapphire,electric,,Cheering,0.4,4.2,4:4,200.0,142.0,20.0,50.0,medium fast,60,50,40,85,75,95,,,,,,1.0,specjalni
minun,minun,,,3,ruby-sapphire,electric,,Cheering,0.4,4.2,4:4,200.0,142.0,20.0,50.0,medium fast,60,40,50,75,85,95,,,,,,1.0,specjalni
volbeat,volbeat,,,3,ruby-sapphire,bug,,Firefly,0.7,17.7,0,150.0,151.0,15.0,50.0,erratic,65,73,75,47,85,85,,,,,,1.0,sredniaki
illumise,illumise,,,3,ruby-sapphire,bug,,Firefly,0.6,17.7,8:0,150.0,151.0,15.0,50.0,fluctuating,65,47,75,73,85,85,,,,,,1.0,sredniaki
roselia,roselia,,,3,ruby-sapphire,grass,poison,Thorn,0.3,2.0,4:4,150.0,140.0,20.0,50.0,medium slow,50,60,45,100,80,65,,,,2.0,,,sredniaki
gulpin,gulpin,,,3,ruby-sapphire,poison,,Stomach,0.4,10.3,4:4,225.0,60.0,20.0,50.0,fluctuating,70,43,53,43,53,40,1.0,,,,,,sredniaki
swalot,swalot,,,3,ruby-sapphire,poison,,Poison Bag,1.7,80.0,4:4,75.0,163.0,20.0,50.0,fluctuating,100,73,83,73,83,55,2.0,,,,,,sredniaki
carvanha,carvanha,,,3,ruby-sapphire,water,dark,Savage,0.8,20.8,4:4,225.0,61.0,20.0,35.0,slow,45,90,20,65,20,65,,1.0,,,,,sredniaki
sharpedo,sharpedo,,,3,ruby-sapphire,water,dark,Brutal,1.8,88.8,4:4,60.0,161.0,20.0,35.0,slow,70,120,40,95,40,95,,2.0,,,,,sredniaki
sharpedo-mega,sharpedo,mega,Mega Sharpedo,6,omega-ruby-alpha-sapphire,water,dark,Brutal,2.5,130.3,4:4,60.0,196.0,20.0,35.0,slow,70,140,70,110,65,105,,2.0,,,,,sredniaki
wailmer,wailmer,,,3,ruby-sapphire,water,,Ball Whale,2.0,130.0,4:4,125.0,80.0,40.0,50.0,fluctuating,130,70,35,70,35,60,1.0,,,,,,sredniaki
wailord,wailord,,,3,ruby-sapphire,water,,Float Whale,14.5,398.0,4:4,60.0,175.0,40.0,50.0,fluctuating,170,90,45,90,45,60,2.0,,,,,,sredniaki
numel,numel,,,3,ruby-sapphire,fire,ground,Numb,0.7,24.0,4:4,255.0,61.0,20.0,50.0,medium fast,60,60,40,65,45,35,,,,1.0,,,specjalni
camerupt,camerupt,,,3,ruby-sapphire,fire,ground,Eruption,1.9,220.0,4:4,150.0,161.0,20.0,50.0,medium fast,70,100,70,105,75,40,,1.0,,1.0,,,specjalni
camerupt-mega,camerupt,mega,Mega Camerupt,6,omega-ruby-alpha-sapphire,fire,ground,Eruption,2.5,320.5,4:4,150.0,196.0,20.0,50.0,medium fast,70,120,100,145,105,20,,1.0,,1.0,,,specjalni
torkoal,torkoal,,,3,ruby-sapphire,fire,,Coal,0.5,80.4,4:4,90.0,165.0,20.0,50.0,medium fast,70,85,140,85,70,20,,,2.0,,,,specjalni
spoink,spoink,,,3,ruby-sapphire,psychic,,Bounce,0.7,30.6,4:4,255.0,66.0,20.0,50.0,fast,60,25,35,70,80,60,,,,,1.0,,specjalni
grumpig,grumpig,,,3,ruby-sapphire,psychic,,Manipulate,0.9,71.5,4:4,60.0,165.0,20.0,50.0,fast,80,45,65,90,110,80,,,,,2.0,,specjalni
spinda,spinda,,,3,ruby-sapphire,normal,,Spot Panda,1.1,5.0,4:4,255.0,126.0,15.0,50.0,fast,60,60,60,60,60,60,,,,1.0,,,sredniaki
trapinch,trapinch,,,3,ruby-sapphire,ground,,Ant Pit,0.7,15.0,4:4,255.0,58.0,20.0,50.0,medium slow,45,100,45,45,45,10,,1.0,,,,,grubole
vibrava,vibrava,,,3,ruby-sapphire,ground,dragon,Vibration,1.1,15.3,4:4,120.0,119.0,20.0,50.0,medium slow,50,70,50,50,50,70,,1.0,,,,1.0,grubole
flygon,flygon,,,3,ruby-sapphire,ground,dragon,Mystic,2.0,82.0,4:4,45.0,234.0,20.0,50.0,medium slow,80,100,80,80,80,100,,1.0,,,,2.0,grubole
cacnea,cacnea,,,3,ruby-sapphire,grass,,Cactus,0.4,51.3,4:4,190.0,67.0,20.0,35.0,medium slow,50,85,40,85,40,35,,,,1.0,,,sredniaki
cacturne,cacturne,,,3,ruby-sapphire,grass,dark,Scarecrow,1.3,77.4,4:4,60.0,166.0,20.0,35.0,medium slow,70,115,60,115,60,55,,1.0,,1.0,,,sredniaki
swablu,swablu,,,3,ruby-sapphire,normal,flying,Cotton Bird,0.4,1.2,4:4,255.0,62.0,20.0,50.0,erratic,45,40,60,40,75,50,,,,,1.0,,sredniaki
altaria,altaria,,,3,ruby-sapphire,dragon,flying,Humming,1.1,20.6,4:4,45.0,172.0,20.0,50.0,erratic,75,70,90,70,105,80,,,,,2.0,,elita
altaria-mega,altaria,mega,Mega Altaria,6,omega-ruby-alpha-sapphire,dragon,fairy,Humming,1.5,20.6,4:4,45.0,207.0,20.0,50.0,erratic,75,110,110,110,105,80,,,,,2.0,,elita
zangoose,zangoose,,,3,ruby-sapphire,normal,,Cat Ferret,1.3,40.3,4:4,90.0,160.0,20.0,50.0,erratic,73,115,60,60,60,90,,2.0,,,,,sredniaki
seviper,seviper,,,3,ruby-sapphire,poison,,Fang Snake,2.7,52.5,4:4,90.0,160.0,20.0,50.0,fluctuating,73,100,60,100,60,65,,1.0,,1.0,,,sredniaki
lunatone,lunatone,,,3,ruby-sapphire,rock,psychic,Meteorite,1.0,168.0,genderless,45.0,161.0,25.0,50.0,fast,90,55,65,95,85,70,,,,2.0,,,grubole
solrock,solrock,,,3,ruby-sapphire,rock,psychic,Meteorite,1.2,154.0,genderless,45.0,161.0,25.0,50.0,fast,90,95,85,55,65,70,,2.0,,,,,grubole
barboach,barboach,,,3,ruby-sapphire,water,ground,Whiskers,0.4,1.9,4:4,190.0,58.0,20.0,50.0,medium fast,50,48,43,46,41,60,1.0,,,,,,sredniaki
whiscash,whiscash,,,3,ruby-sapphire,water,ground,Whiskers,0.9,23.6,4:4,75.0,164.0,20.0,50.0,medium fast,110,78,73,76,71,60,2.0,,,,,,sredniaki
corphish,corphish,,,3,ruby-sapphire,water,,Ruffian,0.6,11.5,4:4,205.0,62.0,15.0,50.0,fluctuating,43,80,65,50,35,35,,1.0,,,,,sredniaki
crawdaunt,crawdaunt,,,3,ruby-sapphire,water,dark,Rogue,1.1,32.8,4:4,155.0,164.0,15.0,50.0,fluctuating,63,120,85,90,55,55,,2.0,,,,,sredniaki
baltoy,baltoy,,,3,ruby-sapphire,ground,psychic,Clay Doll,0.5,21.5,genderless,255.0,60.0,20.0,50.0,medium fast,40,40,55,40,70,55,,,,,1.0,,grubole
claydol,claydol,,,3,ruby-sapphire,ground,psychic,Clay Doll,1.5,108.0,genderless,90.0,175.0,20.0,50.0,medium fast,60,70,105,70,120,75,,,,,2.0,,grubole
lileep,lileep,,,3,ruby-sapphire,rock,grass,Sea Lily,1.0,23.8,1:7,45.0,71.0,30.0,50.0,erratic,66,41,77,61,87,23,,,,,1.0,,grubole
cradily,cradily,,,3,ruby-sapphire,rock,grass,Barnacle,1.5,60.4,1:7,45.0,173.0,30.0,50.0,erratic,86,81,97,81,107,43,,,,,2.0,,grubole
anorith,anorith,,,3,ruby-sapphire,rock,bug,Old Shrimp,0.7,12.5,1:7,45.0,71.0,30.0,50.0,erratic,45,95,50,40,50,75,,1.0,,,,,grubole
armaldo,armaldo,,,3,ruby-sapphire,rock,bug,Plate,1.5,68.2,1:7,45.0,173.0,30.0,50.0,erratic,75,125,100,70,80,45,,2.0,,,,,grubole
feebas,feebas,,,3,ruby-sapphire,water,,Fish,0.6,7.4,4:4,255.0,40.0,20.0,50.0,erratic,20,15,20,10,55,80,,,,,,1.0,sredniaki
milotic,milotic,,,3,ruby-sapphire,water,,Tender,6.2,162.0,4:4,60.0,189.0,20.0,50.0,erratic,95,60,79,100,125,81,,,,,2.0,,sredniaki
castform,castform,,,3,ruby-sapphire,normal,,Weather,0.3,0.8,4:4,45.0,147.0,25.0,50.0,medium fast,70,70,70,70,70,70,1.0,,,,,,sredniaki
castform-sunny,castform,sunny,Sunny Form,3,ruby-sapphire,fire,,Weather,0.3,0.8,4:4,45.0,147.0,25.0,50.0,medium fast,70,70,70,70,70,70,1.0,,,,,,specjalni
castform-rainy,castform,rainy,Rainy Form,3,ruby-sapphire,water,,Weather,0.3,0.8,4:4,45.0,147.0,25.0,50.0,medium fast,70,70,70,70,70,70,1.0,,,,,,sredniaki
castform-snowy,castform,snowy,Snowy Form,3,ruby-sapphire,ice,,Weather,0.3,0.8,4:4,45.0,147.0,25.0,50.0,medium fast,70,70,70,70,70,70,1.0,,,,,,sredniaki
kecleon,kecleon,,,3,ruby-sapphire,normal,,Color Swap,1.0,22.0,4:4,200.0,154.0,20.0,50.0,medium slow,60,90,70,60,120,40,,,,,1.0,,sredniaki
shuppet,shuppet,,,3,ruby-sapphire,ghost,,Puppet,0.6,2.3,4:4,225.0,59.0,25.0,35.0,fast,44,75,35,63,33,45,,1.0,,,,,specjalni
banette,banette,,,3,ruby-sapphire,ghost,,Marionette,1.1,12.5,4:4,45.0,159.0,25.0,35.0,fast,64,115,65,83,63,65,,2.0,,,,,specjalni
banette-mega,banette,mega,Mega Banette,6,x-y,ghost,,Marionette,1.2,13.0,4:4,45.0,194.0,25.0,35.0,fast,64,165,75,93,83,75,,2.0,,,,,specjalni
duskull,duskull,,,3,ruby-sapphire,ghost,,Requiem,0.8,15.0,4:4,190.0,59.0,25.0,35.0,fast,20,40,90,30,90,25,,,,,1.0,,specjalni
dusclops,dusclops,,,3,ruby-sapphire,ghost,,Beckon,1.6,30.6,4:4,90.0,159.0,25.0,35.0,fast,40,70,130,60,130,25,,,1.0,,1.0,,specjalni
tropius,tropius,,,3,ruby-sapphire,grass,flying,Fruit,2.0,100.0,4:4,200.0,161.0,25.0,50.0,slow,99,68,83,72,87,51,2.0,,,,,,sredniaki
chimecho,chimecho,,,3,ruby-sapphire,psychic,,Wind Chime,0.6,1.0,4:4,45.0,159.0,25.0,50.0,fast,75,50,80,95,90,65,,,,1.0,1.0,,specjalni
absol,absol,,,3,ruby-sapphire,dark,,Disaster,1.2,47.0,4:4,30.0,163.0,25.0,35.0,medium slow,65,130,60,75,60,75,,2.0,,,,,agresorzy
absol-mega,absol,mega,Mega Absol,6,x-y,dark,,Disaster,1.2,49.0,4:4,30.0,198.0,25.0,35.0,medium slow,65,150,60,115,60,115,,2.0,,,,,agresorzy
wynaut,wynaut,,,3,ruby-sapphire,psychic,,Bright,0.6,14.0,4:4,125.0,52.0,20.0,50.0,medium fast,95,23,48,23,48,23,1.0,,,,,,specjalni
snorunt,snorunt,,,3,ruby-sapphire,ice,,Snow Hat,0.7,16.8,4:4,190.0,60.0,20.0,50.0,medium fast,50,50,50,50,50,50,1.0,,,,,,sredniaki
glalie,glalie,,,3,ruby-sapphire,ice,,Face,1.5,256.5,4:4,75.0,168.0,20.0,50.0,medium fast,80,80,80,80,80,80,2.0,,,,,,sredniaki
